trait_id,GeneID,Symbol,Org_name,tax_id
transcription_factor_NCBI,55107,ANO1,Homo sapiens,9606
transcription_factor_NCBI,2324,FLT4,Homo sapiens,9606
transcription_factor_NCBI,1436,CSF1R,Homo sapiens,9606
transcription_factor_NCBI,51176,LEF1,Homo sapiens,9606
transcription_factor_NCBI,6097,RORC,Homo sapiens,9606
transcription_factor_NCBI,3251,HPRT1,Homo sapiens,9606
transcription_factor_NCBI,6500,SKP1,Homo sapiens,9606
transcription_factor_NCBI,8549,LGR5,Homo sapiens,9606
transcription_factor_NCBI,7376,NR1H2,Homo sapiens,9606
transcription_factor_NCBI,904,CCNT1,Homo sapiens,9606
transcription_factor_NCBI,1482,NKX2-5,Homo sapiens,9606
transcription_factor_NCBI,406942,MIR150,Homo sapiens,9606
transcription_factor_NCBI,2023,ENO1,Homo sapiens,9606
transcription_factor_NCBI,7100,TLR5,Homo sapiens,9606
transcription_factor_NCBI,7369,UMOD,Homo sapiens,9606
transcription_factor_NCBI,7466,WFS1,Homo sapiens,9606
transcription_factor_NCBI,1594,CYP27B1,Homo sapiens,9606
transcription_factor_NCBI,54822,TRPM7,Homo sapiens,9606
transcription_factor_NCBI,10642,IGF2BP1,Homo sapiens,9606
transcription_factor_NCBI,9759,HDAC4,Homo sapiens,9606
transcription_factor_NCBI,7043,TGFB3,Homo sapiens,9606
transcription_factor_NCBI,1316,KLF6,Homo sapiens,9606
